"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                Main farm indicators by NUTS 2 region"	"ef_mainfarm"	"folder"	" "	" "	" "	" "	
"                    Farm indicators by legal status of the holding, utilised agricultural area, type and economic size of the farm and NUTS 2 region"	"ef_m_farmleg"	"dataset"	"26.03.2024"	"10.02.2025"	"2010"	"2020"	7737078
"                        Livestock density index"	"tai09"	"table"	"10.02.2025"	"10.02.2025"	"2010"	"2020"	127
"                    Farm indicators by age and sex of the manager, economic size of the farm, utilised agricultural area and NUTS 2 region"	"ef_m_farmang"	"dataset"	"26.03.2024"	"10.01.2024"	"2010"	"2020"	6161962
"                    Main farm indicators by organic farming, utilised agricultural area, economic size, farm type of agricultural holding and NUTS 2"	"ef_m_org"	"dataset"	"21.07.2025"	"30.06.2025"	"2010"	"2023"	6142650
"                    Land and labour productivity of agricultural holdings by sex of farm manager and type and size of the farm"	"ef_m_pry"	"dataset"	"18.07.2025"	"30.06.2025"	"2010"	"2023"	20525
"                    Main farm indicators by rural development support measures, utilized agricultural area, type and economic size of the farm and NUTS 2 region"	"ef_m_rd"	"dataset"	"03.10.2025"	"31.03.2025"	"2010"	"2023"	6161865
"                    Irrigation of agricultural holdings by utilised agricultural area, economic size, farmtype and NUTS 2 region"	"ef_m_irri"	"dataset"	"02.10.2025"	"30.06.2025"	"2005"	"2023"	4477731
"                    Share of holdings by economic size classes and NUTS 2 region"	"ef_m_so_sh"	"dataset"	"27.05.2024"	"14.10.2024"	"2020"	"2020"	1734
"                    Share of holdings by age of farm managers and NUTS 2 region"	"ef_m_age_sh"	"dataset"	"27.05.2024"	"27.05.2024"	"2020"	"2020"	2304
"                    Share of holdings by sex of farm managers and NUTS 2 region"	"ef_m_sex_sh"	"dataset"	"27.05.2024"	"27.05.2024"	"2020"	"2020"	1732
"                    Standard output coefficients of agricultural products"	"ef_aux_soc"	"dataset"	"02.06.2025"	"02.06.2025"	"2017"	"2020"	237896
"                Farm land use by NUTS 2 region"	"ef_landuse"	"folder"	" "	" "	" "	" "	
"                    Main farm land use by NUTS 2 region"	"ef_lus_main"	"dataset"	"10.01.2023"	"10.01.2024"	"2005"	"2020"	26564866
"                    Farms and hectares by type of crops, utilised agricultural area, economic size and NUTS 2 region"	"ef_lus_allcrops"	"dataset"	"27.02.2024"	"27.02.2024"	"2005"	"2020"	23956342
"                    Organic crops by utilised agricultural area, economic size of the farm and NUTS 2 region"	"ef_lus_org"	"dataset"	"31.07.2025"	"31.07.2025"	"2010"	"2023"	3396970
"                    Irrigated crops by utilised agricultural area, economic size of the farm and NUTS 2 region"	"ef_lus_irri"	"dataset"	"29.07.2025"	"29.07.2025"	"2010"	"2023"	912980
"                    Permanent grassland by area under corresponding crop, utilised agricultural area, economic size of the farm and NUTS 2 region"	"ef_lus_pegrass"	"dataset"	"17.07.2025"	"27.05.2025"	"2010"	"2023"	4217111
"                Farm livestock"	"ef_livestock"	"folder"	" "	" "	" "	" "	
"                    Main livestock indicators by NUTS 2 region"	"ef_lsk_main"	"dataset"	"05.12.2023"	"10.01.2024"	"2005"	"2020"	99783634
"                    Bovine by NUTS 2 region"	"ef_lsk_bovine"	"dataset"	"22.09.2025"	"30.09.2025"	"2005"	"2023"	20748216
"                    Sheep by NUTS 2 region"	"ef_lsk_sheep"	"dataset"	"30.09.2025"	"30.09.2025"	"2005"	"2023"	5256178
"                    Poultry by NUTS 2 region"	"ef_lsk_poultry"	"dataset"	"30.09.2025"	"30.09.2025"	"2005"	"2023"	2481951
"                    Pigs by NUTS 2 region"	"ef_lsk_pigs"	"dataset"	"30.09.2025"	"30.09.2025"	"2005"	"2023"	1377746
"                    Goats by NUTS 2 region"	"ef_lsk_goats"	"dataset"	"30.09.2025"	"30.09.2025"	"2005"	"2023"	4992882
"                    Organic animal farming by utilised agricultural area, livestock unit, economic size of the farm and NUTS 2 region"	"ef_lsk_org"	"dataset"	"31.07.2025"	"31.07.2025"	"2010"	"2023"	6279545
"                Farm labour force"	"ef_lf"	"folder"	" "	" "	" "	" "	
"                    Main agricultural labour force by age and sex of the farm manager, farm type of the agricultural holding and NUTS 2 region"	"ef_lf_main"	"dataset"	"26.03.2024"	"10.01.2024"	"2010"	"2020"	9362893
"                    Agricultural labour force by size of the farm and NUTS 2 region"	"ef_lf_size"	"dataset"	"27.05.2024"	"27.05.2024"	"2010"	"2020"	3794863
"                    Agricultural labour force by legal entity, work status, sex of worker, economic size of the agricultural holding and NUTS 2 region"	"ef_lf_leg"	"dataset"	"29.05.2024"	"29.05.2024"	"2010"	"2020"	2798094
"                    Share of family farms by NUTS 2 region"	"ef_lf_fam_sh"	"dataset"	"28.05.2024"	"28.05.2024"	"2020"	"2020"	3824
"                    Agricultural family labour force by age, sex of farm manager and NUTS 2 region"	"ef_lf_fam"	"dataset"	"25.07.2025"	"29.07.2025"	"2010"	"2023"	17066212
"                Management and practices"	"ef_mp"	"folder"	" "	" "	" "	" "	
"                    Agricultural holdings by legal form of the management"	"ef_mp_manleg"	"dataset"	"31.03.2020"	"10.01.2024"	"2013"	"2016"	2699294
"                    Tenure of agricultural holdings by utilised agricultural area, sex and age of farm manager"	"ef_mp_tenure"	"dataset"	"17.04.2024"	"25.04.2024"	"2005"	"2020"	34526255
"                    Agricultural holdings and utilised agricultural area by training, age and sex of farm managers"	"ef_mp_training"	"dataset"	"27.03.2023"	"10.01.2024"	"2010"	"2020"	12526838
"                    Irrigation methods and source of irrigation water of agricultural holdings by NUTS 2 region"	"ef_mp_irri"	"dataset"	"31.07.2025"	"31.07.2025"	"2010"	"2023"	152381
"                    Soil management practices by arable land area, farmtype, crop rotation and NUTS 2 region"	"ef_mp_prac"	"dataset"	"16.10.2025"	"16.10.2025"	"2010"	"2023"	3910170
"                    Soil cover by arable land area, farmtype, crop rotation and NUTS 2 region"	"ef_mp_soil"	"dataset"	"16.10.2025"	"16.10.2025"	"2010"	"2023"	5016791
"                    Agricultural holding and utilised agricultural area by vocational training, sex and age of farm managers"	"ef_mp_voctraining"	"dataset"	"29.02.2024"	"29.02.2024"	"2010"	"2020"	5262230
"                    Organic farming by age, sex and training of farm manager"	"ef_mp_manorg"	"dataset"	"26.03.2024"	"26.03.2024"	"2010"	"2020"	5199433
"                    Share of holdings by training of farm manager and NUTS 2 region"	"ef_mp_training_sh"	"dataset"	"27.05.2024"	"27.05.2024"	"2020"	"2020"	2286
"                    Manure storage facilities by utilised agricultural area, size class of livestock, farm type and NUTS 2 region"	"ef_mp_ms"	"dataset"	"29.01.2025"	"29.01.2025"	"2010"	"2020"	3252884
"                    Import and export of manure by farm type and NUTS 2 region"	"ef_mp_mne"	"dataset"	"29.01.2025"	"29.01.2025"	"2020"	"2020"	964512
"                    Utilised agricultural area fertilised by manure application technique, farm type and NUTS 2 region"	"ef_mp_ma"	"dataset"	"29.01.2025"	"29.01.2025"	"2020"	"2020"	586075
"                    Machinery used by agricultural holdings by type of ownership, farm size, farm type and NUTS 2 region"	"ef_mp_mach"	"dataset"	"30.09.2025"	"30.09.2025"	"2005"	"2023"	1388533
"                    Internet facilities, robotics, precision farming and machinery for livestock management in farms by economic size of farm, farm type and NUTS 2 region"	"ef_mp_digi"	"dataset"	"30.09.2025"	"30.09.2025"	"2023"	"2023"	263003
"                    Machinery for livestock management by age and training of manager, size classes of livestock and NUTS 2 region"	"ef_mp_digilsk"	"dataset"	"30.09.2025"	"30.09.2025"	"2023"	"2023"	576962
"                    Precision farming by age and training of manager, size of farm and NUTS 2 region"	"ef_mp_digicr"	"dataset"	"30.09.2025"	"30.09.2025"	"2023"	"2023"	551157
"                Animal housing"	"ef_ah"	"folder"	" "	" "	" "	" "	
"                    Animal housing by type of bovine, utilised agricultural area, size classes of livestock units and NUTS 2 region"	"ef_ah_bovine"	"dataset"	"12.09.2025"	"12.09.2025"	"2010"	"2020"	3676718
"                    Animal housing by type of pigs, utilised agricultural area, size classes of livestock units and NUTS 2 region"	"ef_ah_pigs"	"dataset"	"12.09.2025"	"12.09.2025"	"2010"	"2020"	3324515
"                    Animal housing by type of poultry, utilised agricultural area, size classes of livestock units and NUTS 2 region"	"ef_ah_poultry"	"dataset"	"12.09.2025"	"12.09.2025"	"2010"	"2020"	2240341
"                Other gainful activities and support for rural development"	"ef_oga"	"folder"	" "	" "	" "	" "	
"                    Farm indicators by other gainful activities related to the holder, utilized agricultural area, type and economic size of the farm and NUTS 2 region"	"ef_oga_main"	"dataset"	"07.10.2025"	"25.04.2024"	"2010"	"2020"	22044854
"                    Type of other gainful activities directly related to the agricultural holdings by age of the manager, utilised agricultural area, farm type and economic size by NUTS 2 region"	"ef_oga_type"	"dataset"	"07.10.2025"	"25.04.2024"	"2010"	"2020"	9802758
"                Rural development"	"ef_rd"	"folder"	" "	" "	" "	" "	
"                    Beneficiary of rural development support measures by legal form, economic size and farm type of the agricultural holding and NUTS 2 region"	"ef_rd_leg"	"dataset"	"03.10.2025"	"31.03.2025"	"2010"	"2023"	1886746
"                    Beneficiary of rural development support measures by age, sex and training of farm manager and NUTS 2 region"	"ef_rd_man"	"dataset"	"03.10.2025"	"31.03.2025"	"2010"	"2023"	4019429
"                Farm structural indicators"	"ef_fsi"	"folder"	" "	" "	" "	" "	
"                    New farm managers by sex"	"ef_fsi_nfm"	"dataset"	"20.10.2025"	"27.05.2025"	"2020"	"2023"	1218
"                    Irrigable and irrigated area"	"ef_fsi_irri"	"dataset"	"26.09.2025"	"30.06.2025"	"2005"	"2023"	723
"                    Average organic farm size by utilised agricultural area, economic size and farm type"	"ef_fsi_org"	"dataset"	"26.09.2025"	"26.09.2025"	"2010"	"2023"	481424
"                        Agricultural holdings with organic utilised agricultural area"	"tag00127"	"table"	"26.09.2025"	"26.09.2025"	"2010"	"2023"	144
"                    Farms by utilised agricultural area"	"ef_fsi_farms"	"dataset"	"26.09.2025"	"06.08.2025"	"2005"	"2023"	4592
"                        Agricultural holdings by agricultural area"	"tag00001"	"table"	"26.09.2025"	"06.08.2025"	"2005"	"2023"	2230
"                    Physical size of farms by utilised agricultural area and legal form"	"ef_fsi_physz"	"dataset"	"26.09.2025"	"06.08.2025"	"2005"	"2023"	43625
"                        Agricultural holdings by legal form"	"tag00128"	"table"	"26.09.2025"	"06.08.2025"	"2005"	"2023"	736
"                    Main farm land use"	"ef_fsi_lus"	"dataset"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	24232
"                        Farm land use"	"tag00007"	"table"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	1233
"                    Livestock units by animal groups and size classes of livestock units"	"ef_fsi_lsk"	"dataset"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	709455
"                        Agricultural holdings with livestock"	"tag00124"	"table"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	1601
"                    Average economic size of farms by standard output, farm type and age of farm manager"	"ef_fsi_ecsz"	"dataset"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	971908
"                        Agricultural holdings by economic size of the farm (Standard Output in Euro)"	"tag00123"	"table"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	2432
"                    Age structure of farm managers"	"ef_fsi_agesex"	"dataset"	"26.09.2025"	"31.07.2025"	"2010"	"2023"	74634
"                        Agricultural holdings by age of manager"	"tag00125"	"table"	"26.09.2025"	"31.07.2025"	"2010"	"2023"	1139
"                    Average farm labour force by work status and sex of farm manager"	"ef_fsi_lf"	"dataset"	"26.09.2025"	"31.07.2025"	"2010"	"2023"	9785
"                        Farm labour force"	"tag00020"	"table"	"26.09.2025"	"31.07.2025"	"2010"	"2023"	870
"                    Agricultural training of farm managers"	"ef_fsi_training"	"dataset"	"26.09.2025"	"09.09.2025"	"2005"	"2023"	10740
"                        Agricultural holdings by training of manager"	"tag00126"	"table"	"26.09.2025"	"09.09.2025"	"2005"	"2023"	715
"                    Crop diversity"	"ef_fsi_cdiv"	"dataset"	"04.09.2025"	"31.07.2025"	"2010"	"2023"	7810
"                    Grazing livestock density"	"ef_fsi_grds"	"dataset"	"26.09.2025"	"31.07.2025"	"2005"	"2023"	634
"                Farm structure - 2008 legislation (from 2005 onwards)"	"ef_main"	"folder"	" "	" "	" "	" "	
"                    Key farm variables"	"ef_kv"	"folder"	" "	" "	" "	" "	
"                        Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 region"	"ef_kvaareg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	225156
"                        Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 region"	"ef_kvecsleg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	291750
"                        Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and agricultural size of farm (UAA)"	"ef_kvftaa"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	199096
"                        Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA) and age of manager"	"ef_kvage"	"dataset"	"18.01.2017"	"21.12.2023"	"2005"	"2013"	48301
"                        Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and economic size of farm (SO in Euro)"	"ef_kvftecs"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	218359
"                        Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 region"	"ef_kvftreg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	215199
"                    Overview - farm livestock"	"ef_ols"	"folder"	" "	" "	" "	" "	
"                        Livestock: number of farms and heads of animals by type of farming (2-digit)"	"ef_olslsuft"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	129906
"                        Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 region"	"ef_olsaareg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	594155
"                        Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 region"	"ef_olslsureg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	589321
"                    Overview - farm labour force"	"ef_olf"	"folder"	" "	" "	" "	" "	
"                        Labour force: number of persons and farm work (AWU) by type of farming (2-digit) and economic size of farm (SO in Euro)"	"ef_olfftecs"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	316293
"                        Labour force: number of persons and farm work (AWU) by agricultural size of farm (UAA)"	"ef_olfaa"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	15353
"                        Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 region"	"ef_olfreg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	38800
"                    Farm land use - Permanent crops, other farmland, irrigation"	"ef_po"	"folder"	" "	" "	" "	" "	
"                        Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 region"	"ef_poirrig"	"dataset"	"19.04.2018"	"10.01.2024"	"2005"	"2013"	209805
"                        Mushrooms, energy crops, GMO: number of farms and areas by size of farm (UAA)"	"ef_pomengmo"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	10302
"                    Farm labour force - historical data"	"ef_lf_h"	"folder"	" "	" "	" "	" "	
"                        Labour force categories: number of persons and farm work (AWU) by sex of worker, legal satus of holding and agricultural size of farm (UAA)"	"ef_lflegaa"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	128486
"                        Labour force categories: number of persons and farm work (AWU) by legal status of holding and economic size of farm (SO in Euro)"	"ef_lflegecs"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	149981
"                        Labour force categories: number of persons and farm work (AWU) in the holding by working time (% AWU) and agricultural size of farm (UAA)"	"ef_lfwtime"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	100804
"                    Other gainful activities and support for rural development (historical data)"	"ef_oga_h"	"folder"	" "	" "	" "	" "	
"                        Other gainful activities (OGA) of the farm of sole holder: number of farms, agricultural area, standard output (SO) and livestock (LSU) by agricultural size of farm (UAA)"	"ef_ogaaa"	"dataset"	"16.01.2017"	"14.10.2024"	"2005"	"2013"	238721
"                        Other gainful activities (OGA) of the farm of sole holder: number of farms, agricultural area, standard output (SO) and livestock (LSU) by economic size of farm (SO in Euro)"	"ef_ogaecs"	"dataset"	"16.01.2017"	"14.10.2024"	"2005"	"2013"	273864
"                        Other gainful activities (OGA) of the farm of sole holder: number of farms, agricultural area, standard output (SO) and livestock (LSU) by type of farming (1-digit)"	"ef_ogaft"	"dataset"	"16.01.2017"	"14.10.2024"	"2005"	"2013"	234375
"                        Other gainful activities (OGA) of the farm of sole holder: number of farms, agricultural area, standard output (SO) and livestock (LSU) by age of holder"	"ef_ogaage"	"dataset"	"16.01.2017"	"14.10.2024"	"2005"	"2013"	244671
"                            Agricultural holdings by age of holder"	"tag00029"	"table"	"16.01.2017"	"14.10.2024"	"2005"	"2013"	828
"                        Other gainful activities directly related to the holding: number of farms, agricultural area, standard output (SO) and livestock (LSU) by age and sex of holder"	"ef_ogadsexage"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	128558
"                    Farm management and practises (historical data)"	"ef_mp_h"	"folder"	" "	" "	" "	" "	
"                        Holder-manager relationship: area, livestock, labour force and standard output (SO) by agricultural size of farm (UAA) (2005-2013)"	"ef_mpmanaa"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	103837
"                        Farm equipment: agricultural area and number of farms with different type of equipment by agricultural size of farm (UAA) (2010-2013)"	"ef_mpequip"	"dataset"	"16.01.2017"	"21.12.2023"	"2010"	"2013"	8341
"                        Farm machinery: number of farms and machines by size of farm (UAA) (2013)"	"ef_mpmachine"	"dataset"	"13.12.2016"	"03.01.2024"	"2013"	"2013"	3716
"                        Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 region (2003-2013)"	"ef_mporganic"	"dataset"	"16.01.2017"	"10.01.2024"	"2003"	"2013"	319965
"                        Agricultural training of farm managers: number of farms, agricultural area, labour force and standard output (SO) by age and sex of the manager (2005-2013)"	"ef_mptrainman"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	33787
"                        Agricultural training of farm managers: number of farms, agricultural area, labour force, standard output (SO) and livestock (LSU) by economic size of farm (SO in Euro) (2005-2013)"	"ef_mptrainecs"	"dataset"	"16.01.2017"	"21.12.2023"	"2005"	"2013"	22204
"                Farm structure - 1988 legislation (1990-2007)"	"ef_historic"	"folder"	" "	" "	" "	" "	
"                    Overview of agricultural holdings"	"ef_ov"	"folder"	" "	" "	" "	" "	
"                        Key farm variables"	"ef_ov_kv"	"folder"	" "	" "	" "	" "	
"                            Key variables by legal status of holding, size of farm (UAA) and NUTS 2 region"	"ef_ov_kvaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	250844
"                            Key variables by size of farm (UAA), economic size of farm (ESU) and LFA status"	"ef_ov_kvaaesu"	"dataset"	"17.07.2009"	"21.12.2023"	"1990"	"2007"	265399
"                            Key variables by age of holder, size of farm (UAA) and LFA status"	"ef_ov_kvage"	"dataset"	"17.07.2009"	"21.12.2023"	"1990"	"2007"	171494
"                            Key variables by type of farming (1-digit), economic size of farm (ESU) and LFA status"	"ef_ov_kvesuft"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	168823
"                            Key variables by type of farming (1-digit), economic size of farm (ESU) and objective zone 2000"	"ef_ov_kvftob00"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2005"	82928
"                            Key variables by type of farming (1-digit), economic size of farm (ESU) and objective zone 1999"	"ef_ov_kvftob99"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2000"	27584
"                            Key variables by type of farming (2-digit) and size of farm (UAA)"	"ef_ov_kvftaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	198098
"                            Key variables by type of farming (2-digit) and economic size of farm (ESU)"	"ef_ov_kvftesu"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	134890
"                            Key variables by type of farming (2-digit) and NUTS 2 region"	"ef_ov_kvftreg"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	133474
"                        Land use summary"	"ef_ov_lu"	"folder"	" "	" "	" "	" "	
"                            Land use: number of farms and areas by size of farm (UAA) and LFA status"	"ef_ov_lusum"	"dataset"	"17.07.2009"	"21.12.2023"	"1990"	"2007"	242540
"                            Land use: number of farms and areas by size of farm (UAA) and objective zone 2000"	"ef_ov_luob00"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2005"	73978
"                            Land use: number of farms and areas by size of farm (UAA) and objective zone 1999"	"ef_ov_luob99"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2003"	27938
"                            Land use: number of farms and areas by type of farming (2-digit) and economic size of farm (ESU)"	"ef_ov_luft"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	2265211
"                        Livestock summary"	"ef_ov_ls"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and LFA status"	"ef_ov_lssum"	"dataset"	"17.07.2009"	"21.12.2023"	"1990"	"2007"	98977
"                            Livestock: number of farms and heads by size of farm (UAA) and objective zone 2000"	"ef_ov_lsob00"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2003"	8556
"                            Livestock: number of farms and heads by size of farm (UAA) and objective zone 1999"	"ef_ov_lsob99"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2003"	10216
"                            Livestock: number of farms, heads and LSU by type of farming (2-digit) and economic size of farm (ESU)"	"ef_ov_lsft"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	1004141
"                        Labour force summary"	"ef_ov_lf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by size of farm (UAA) and LFA status"	"ef_ov_lfsum"	"dataset"	"17.07.2009"	"21.12.2023"	"1990"	"2007"	49790
"                            Labour force: number of persons and farm work (AWU) by size of farm (UAA) and objective zone 2000"	"ef_ov_lfob00"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2003"	6320
"                            Labour force: number of persons and farm work (AWU) by size of farm (UAA) and objective zone 1999"	"ef_ov_lfob99"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2003"	7060
"                            Labour force: number of persons and farm work (AWU) by type of farming (2-digit) and economic size of farm (ESU)"	"ef_ov_lfft"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	445276
"                    Land Use"	"ef_lu"	"folder"	" "	" "	" "	" "	
"                        Land use overview"	"ef_lu_ov"	"folder"	" "	" "	" "	" "	
"                            Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 region"	"ef_lu_ovcropaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1969784
"                            Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 region"	"ef_lu_ovcropesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1959788
"                        Arable land"	"ef_lu_al"	"folder"	" "	" "	" "	" "	
"                            Arable crops: number of farms and areas by size of farm (UAA) and size of arable area"	"ef_lu_alarable"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	239808
"                            Cereals: number of farms, areas and combine harvestors by size of farm (UAA) and size of cereal area"	"ef_lu_alcereal"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	248256
"                            Common wheat: number of farms and area by size of farm (UAA) and size of common wheat area"	"ef_lu_alwheat"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	85056
"                            Barley: number of farms and area by size of farm (UAA) and size of barley area"	"ef_lu_albarley"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	85616
"                            Grain maize: number of farms and area by size of farm (UAA) and size of grain maize area"	"ef_lu_almaize"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	67208
"                            Potatoes: number of farms and area by size of farm (UAA) and size of potato area"	"ef_lu_alpotat"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	74310
"                            Sugar beet: number of farms and area by size of farm (UAA) and size of sugar beet area"	"ef_lu_alsbeet"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	52110
"                            Industrial plants: number of farms and areas by size of farm (UAA) and size of industrial plant area"	"ef_lu_aliplant"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	279230
"                            Vegetables, melons, strawberries and greenhouses: number of farms and areas by size of farm (UAA) and size of vegetable, melon and strawberry outdoor area"	"ef_lu_alvegout"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	191916
"                            Vegetables, melons, strawberries and greenhouses: number of farms and areas by size of farm (UAA) and size of vegetable, melon and strawberry area under glass"	"ef_lu_alvegglas"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	175370
"                            Flowers and ornamental plants: number of farms and areas by size of farm (UAA) and size of flower and ornamental plant area"	"ef_lu_alflower"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	15510
"                        Permanent crops"	"ef_lu_pc"	"folder"	" "	" "	" "	" "	
"                            Permanent crops: number of farms and areas by size of farm (UAA) and size of permanent crop area"	"ef_lu_pcgeo"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	383730
"                            Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 region"	"ef_lu_pcreg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	492194
"                            Fruit and berry plantations: number of farms and areas by size of farm (UAA) and size of fruit and berry plantation area"	"ef_lu_pcfruit"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	135380
"                            Olive plantations: number of farms and areas by size of farm (UAA) and size of olive plantation area"	"ef_lu_pcolive"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	42710
"                            Vineyards: number of farms and areas by size of farm (UAA) and size of vineyard area"	"ef_lu_pcvine"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	94878
"                        Other farmland"	"ef_lu_of"	"folder"	" "	" "	" "	" "	
"                            Permanent grassland: number of farms and areas by size of farm (UAA) and size of permanent grassland area"	"ef_lu_ofgrass"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	77892
"                            Fallow land and set-aside land: number of farms and areas by size of farm (UAA) and size of arable area"	"ef_lu_ofsetasid"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	255694
"                            Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 region"	"ef_lu_ofirrig"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	21949
"                            Crops under glass: number of farms and areas by size of farm (UAA) and size of crops under glass area"	"ef_lu_ofglass"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	131048
"                            Other land: number of farms and areas by size of farm (UAA) and size of wooded area"	"ef_lu_ofwood"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	145590
"                    Livestock"	"ef_ls"	"folder"	" "	" "	" "	" "	
"                        Livestock overview"	"ef_ls_ov"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 region"	"ef_ls_ovaareg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	761128
"                            Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 region"	"ef_ls_ovlsureg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	759761
"                            Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 region"	"ef_ls_ovesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	757142
"                        Grazing livestock"	"ef_ls_gz"	"folder"	" "	" "	" "	" "	
